x0,y0,z0,alpha,beta,sigma,pow,xdim,ydim,dalpha,dbeta,sc,auc_tr,auc_ts,acc_tr,acc_ts
-156.18188798,1359.78213668,1795.83239316,-0.106122813102,0.747765827362,100,2,32,32,1.0471975512,1.0471975512,:,0.626216008647,0.504544290835,0.582666666667,0.504
369.771893858,-1108.16733054,6469.36023881,0.156459067244,-0.441615198271,75,2,32,32,1.0471975512,1.0471975512,:,0.630919784651,0.491959766801,0.584,0.488
-284.05952514,390.91212171,12996.1731912,-0.218072119236,0.295993842127,500,2,32,32,1.0471975512,1.0471975512,:,0.960823774543,0.87478394469,0.882666666667,0.792
-602.488461003,92.9000725739,6817.60975281,1.36463087058,-0.635314981831,100,2,32,32,1.0471975512,1.0471975512,:,0.809946663438,0.622853068896,0.733333333333,0.548
27.59121039,-431.70985301,2427.2861951,0.0192345712603,-0.292368117357,50,2,32,32,1.0471975512,1.0471975512,:,0.612329225014,0.596899224806,0.588,0.524
367.067706213,1168.68715014,3964.90912252,0.762907644081,1.253365095,75,2,32,32,1.0471975512,1.0471975512,:,0.768765649898,0.457755521315,0.714666666667,0.476
-1772.14189278,-610.928970935,12021.2736345,-1.21756425302,-0.751833647154,75,2,32,32,1.0471975512,1.0471975512,:,0.677368421053,0.559679487179,0.637333333333,0.552
-1497.12025589,-1427.7660084,5944.69964844,-0.488025866518,-0.468645540149,75,2,32,32,1.0471975512,1.0471975512,:,0.730741878591,0.529392930328,0.649333333333,0.508
1039.57454262,-399.45618972,3544.94460419,-1.01737610376,0.556398281173,100,2,32,32,1.0471975512,1.0471975512,:,0.679094872032,0.574707125024,0.613333333333,0.568
369.302589189,-53.9435937007,8258.70261026,-0.201609659482,0.02984561353,50,2,32,32,1.0471975512,1.0471975512,:,0.742684236352,0.560527495039,0.688,0.56
155.771996142,-219.988879487,10873.1048742,-0.259624390642,0.358876553331,100,2,32,32,1.0471975512,1.0471975512,:,0.995142558442,0.83688897431,0.965333333333,0.744
-96.5734335771,-350.839758581,9559.09186043,-0.060476837476,-0.216524912535,10,2,32,32,1.0471975512,1.0471975512,:,0.765536924216,0.462654798762,0.693333333333,0.472
294.92991767,-514.685076062,8854.7532543,-0.411272469981,0.650580447219,500,2,32,32,1.0471975512,1.0471975512,:,0.85823188076,0.660138248848,0.772,0.612
-658.907752337,-801.514378616,10427.3468785,0.601225071928,0.695363482063,100,2,32,32,1.0471975512,1.0471975512,:,1.0,0.838325652842,0.998666666667,0.784
634.112110088,1651.26298595,14398.1836354,-0.469742423898,-0.923166563585,75,2,32,32,1.0471975512,1.0471975512,:,0.886927579316,0.542827855724,0.790666666667,0.568
-385.754296895,-278.409549908,4969.13162338,-0.961175541601,-0.801855664311,500,2,32,32,1.0471975512,1.0471975512,:,0.624174964438,0.547051282051,0.597333333333,0.504
